Organization,Organization Name URL,Categories,Headquarters,Regions,Founded,Date_Period,ExitDate,ExitDatePrecision,LastFundingDate,LastFundingAmount,LastFundingAmountCurrency,LastFundingAmountUSD,LastFundingType,LastEquityFundingAmount,LastEquityFundingAmountCurrency,LastEquityFundingAmountUSD,FundingStatus,Top5Investors,NumberInvestors
Safe-T,https://www.crunchbase.com/organization/safe-t,"Enterprise Software, Financial Services, Health Care, Network Security, Security","Herzliya, Tel Aviv, Israel",,2013-01-01,year,2016-07-07,day,2018-05-31,3000000,USD,3000000,Undisclosed,3000000,USD,3000000,IPO,,
HyTrust,https://www.crunchbase.com/organization/hytrust,"Cyber Security, Infrastructure, Security, Software","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2007-01-01,year,,,2017-07-11,36000000,USD,36000000,Series E,36000000,USD,36000000,Late Stage Venture,"Advance Venture Partners, Fortinet, Intel, Intel Capital, VMware",14
Shiji Group,https://www.crunchbase.com/organization/beijing-shiji-information-technology,"Hospitality, Point of Sale, Retail Technology, Security","Beijing, Beijing, China",Asia-Pacific (APAC),1998-01-01,year,,,2018-02-08,486000000,USD,486000000,Corporate Round,486000000,USD,486000000,,"Alibaba Group, Taobao",2
128 Technology,https://www.crunchbase.com/organization/128-technology,"Information Technology, Internet, Network Security, Software","Burlington, Massachusetts, United States","Greater Boston Area, East Coast, New England",2014-07-07,day,,,2018-05-15,9204948,USD,9204948,Series C,9204948,USD,9204948,Late Stage Venture,"G20 Ventures, The Perkins Fund",2
Element,https://www.crunchbase.com/organization/element-inc,"Artificial Intelligence, Biometrics, Identity Management, Information Technology, Mobile, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2012-01-01,year,,,2018-04-11,12000000,USD,12000000,Series A,12000000,USD,12000000,Early Stage Venture,"BoxGroup, GDP Venture, MDI Ventures, Scott Belsky, SMDV",11
Preempt Security,https://www.crunchbase.com/organization/preempt-security,"Cyber Security, Network Security, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2014-01-01,year,,,2018-06-27,17500000,USD,17500000,Series B,17500000,USD,17500000,Early Stage Venture,"Blackstone Group, ClearSky, General Catalyst, Intel Capital, Mickey Boodaei",7
EclecticIQ,https://www.crunchbase.com/organization/eclecticiq,"Cyber Security, Fraud Detection, Risk Management, Security, Software","Amsterdam, Noord-Holland, The Netherlands",European Union (EU),2014-04-01,day,,,2017-11-09,14000000,EUR,16304968,Series B,14000000,EUR,16304968,Early Stage Venture,"INKEF Capital, Keen Venture Partners, KPN Ventures",3
Virsec,https://www.crunchbase.com/organization/virsec-systems-3,"Cloud Security, Computer, Cyber Security, Network Security, Software","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-01-01,year,,,2018-03-20,24000000,USD,24000000,Series B,24000000,USD,24000000,Early Stage Venture,"Amity Ventures, Artiman Ventures, Boston Seed Capital, Raj Singh, Tribeca Venture Partners",6
ShieldX Networks,https://www.crunchbase.com/organization/shieldx-networks-inc,"Cloud Security, Information Technology, Security","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-11-01,month,,,2017-12-12,25000000,USD,25000000,Series B,25000000,USD,25000000,Early Stage Venture,"Ashar Aziz, Aspect Ventures, Bain Capital Ventures, Dimension Data, FireEye",6
Evercompliant,https://www.crunchbase.com/organization/evercompliant,"Cyber Security, FinTech, Fraud Detection, Security","Tel Aviv, Tel Aviv, Israel",,2007-01-01,year,,,2018-03-12,,,,Corporate Round,,,,,"American Express Ventures, Arbor Ventures, Nyca Partners, Star Farm Ventures, Viola Ventures",6
Protocol Labs,https://www.crunchbase.com/organization/protocol-labs,"Information Technology, Internet, Network Security, Privacy","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2014-01-01,year,,,2017-09-16,,,,Venture - Series Unknown,,,,,"Boost VC, Haystack, StartX (Stanford-StartX Fund), Techammer, Y Combinator",11
REAN Cloud,https://www.crunchbase.com/organization/rean-cloud,"Cloud Security, Compliance, Consulting, CRM, Information Technology, Legal, Software","Herndon, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2013-01-01,year,2018-07-24,day,2017-07-24,10000000,USD,10000000,Venture - Series Unknown,10000000,USD,10000000,M&A,"BV Investment Partners, TriCore Solutions",2
United Technologies,https://www.crunchbase.com/organization/united-technologies,"Aerospace, Security, Smart Building, Transportation","Hartford, Connecticut, United States","East Coast, New England, Northeastern US",1934-01-01,year,1978-01-13,day,2018-02-28,,,,Post-IPO Equity,,,,IPO,Pershing Square Capital Management,1
Hoop Messenger,https://www.crunchbase.com/organization/hoop-messenger,"Messaging, Security, Video Chat","Vancouver, British Columbia, Canada",,2014-09-04,day,,,2018-05-31,5000000,CAD,3862736,Series A,5000000,CAD,3862736,Early Stage Venture,,
Versive,https://www.crunchbase.com/organization/versive,"Analytics, Artificial Intelligence, Big Data, Cyber Security, Machine Learning, Predictive Analytics","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",2012-03-17,day,2018-10-23,day,2017-08-22,12700000,USD,12700000,Series C,12700000,USD,12700000,M&A,"Bank of America Merrill Lynch, Bloomberg Beta, Formation 8, Goldman Sachs, Madrona Venture Group",10
"MagicCube, Inc.",https://www.crunchbase.com/organization/magiccube-inc,"Artificial Intelligence, Cloud Security, Cyber Security, Internet of Things, Mobile Payments, Network Security, Point of Sale","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-01-01,year,,,2017-08-08,8500000,USD,8500000,Series A,8500000,USD,8500000,Early Stage Venture,"Bold Capital Partners, NTT Data, Silicon Valley Bank, Social Starts, Visa",8
Silverfort,https://www.crunchbase.com/organization/silverfort-2,"Cyber Security, Enterprise Software","Tel Aviv, Tel Aviv, Israel",,2016-01-01,year,,,2018-06-25,11500000,USD,11500000,Series A,11500000,USD,11500000,Early Stage Venture,"Singtel Innov8, SixThirty CYBER, StageOne Ventures, TLV Partners",4
Averon,https://www.crunchbase.com/organization/averon,"Cyber Security, Enterprise Software, Mobile, Ride Sharing, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-01-01,year,,,2018-03-21,11700000,USD,11700000,Series A,11700000,USD,11700000,Early Stage Venture,"500 Startups, Avalon Ventures, Marc Benioff, Telefonica, Wayra",12
abode,https://www.crunchbase.com/organization/abode,"Security, Smart Home","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-01-28,day,,,2018-04-17,18829905,USD,18829905,Corporate Round,18829905,USD,18829905,,"Constance Freedman, Moderne Ventures, Nice S p A",3
CashShield,https://www.crunchbase.com/organization/cashshield,"Fraud Detection, Payments, Security","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2008-01-01,year,,,2018-06-26,20000000,USD,20000000,Series B,20000000,USD,20000000,Early Stage Venture,"GGV Capital, Tao Zhang, Temasek Holdings, Tony Fadell, Wavemaker Partners",5
Insight Engines,https://www.crunchbase.com/organization/insight-engines-inc,"Big Data, Cyber Security, Enterprise Software, Information Technology, Natural Language Processing","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-01-01,year,,,2017-07-20,15800000,USD,15800000,Series A,15800000,USD,15800000,Early Stage Venture,"August Capital, Data Collective DCVC, Erik Swan, Real Ventures, Splunk",7
Gem,https://www.crunchbase.com/organization/gem,"Cryptocurrency, FinTech, Health Care, Internet, Security, Software","Venice, California, United States","Greater Los Angeles Area, West Coast, Western US",2013-11-01,month,,,2017-09-01,7957493,USD,7957493,Series A,7957493,USD,7957493,Early Stage Venture,"Blockchain Capital, First Round Capital, Pelion Venture Partners, RRE Ventures, Wavemaker Partners",23
Enigma,https://www.crunchbase.com/organization/enigma-2,"Big Data, Cloud Data Services, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-08-14,day,,,2017-09-11,45000000,USD,45000000,Initial Coin Offering,45000000,USD,45000000,,"CVP Management, Flybridge Capital Partners, Plug and Play Insurtech",3
Netsparker,https://www.crunchbase.com/organization/netsparker,"Security, Software, Web Apps","London, England, United Kingdom",European Union (EU),2009-06-01,day,,,2018-03-08,40000000,USD,40000000,Series A,40000000,USD,40000000,Early Stage Venture,Turn/River Capital,1
Solarflare Communications,https://www.crunchbase.com/organization/solarflare,"Big Data, Enterprise Software, Network Security","Irvine, California, United States","Greater Los Angeles Area, West Coast, Western US",2001-01-01,year,2019-04-24,day,2018-06-04,,,,Corporate Round,,,,M&A,"Accel, Amadeus Capital Partners, Foundation Capital, Intel Capital, Sequoia Capital",11
Cyren,https://www.crunchbase.com/organization/cyren,"Information Technology, Security","Mclean, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",1991-01-01,year,1999-07-13,day,2017-11-07,19600000,USD,19600000,Post-IPO Equity,19600000,USD,19600000,IPO,"Go2Net, Vulcan, Warburg Pincus",3
Perception Point,https://www.crunchbase.com/organization/perception-point,"Cyber Security, Information Technology, Network Security, Security","Tel Aviv, Tel Aviv, Israel",,2015-01-01,year,,,2018-02-13,8000000,USD,8000000,Series A,8000000,USD,8000000,Early Stage Venture,"Korea Investment Partners, Pitango Venture Capital, State of Mind Ventures",3
AimBrain,https://www.crunchbase.com/organization/aimbrain,"Biometrics, Cyber Security, FinTech, Fraud Detection","London, England, United Kingdom",European Union (EU),2014-01-01,year,,,2018-01-25,,,,Venture - Series Unknown,,,,,"Business Growth Fund, Charlie Songhurst, Entrepreneur First, Episode 1, Upscale",10
Indeni,https://www.crunchbase.com/organization/indeni,"Data Center Automation, Enterprise Software, IT Management, Network Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2009-07-01,day,,,2018-05-22,14000000,USD,14000000,Series A,14000000,USD,14000000,Early Stage Venture,"CIRTech Fund, iAngels, RTP Ventures, Sequoia Capital Israel, State of Mind Ventures",5
Prevoty,https://www.crunchbase.com/organization/prevoty,"Cyber Security, Developer Tools, Information Technology, Security","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",2013-03-01,day,2018-07-26,day,2017-12-05,13000000,USD,13000000,Series B,13000000,USD,13000000,M&A,"Core Ventures Group, Daher Capital, digi Ventures, Plus Capital, U.S. Venture Partners (USVP)",12
ReversingLabs,https://www.crunchbase.com/organization/reversinglabs,"Cyber Security, Mobile, Security","Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",2009-01-01,year,,,2017-11-29,25000000,USD,25000000,Series A,25000000,USD,25000000,Early Stage Venture,"ForgePoint Capital, In-Q-Tel, JP Morgan Chase",3
Enjin,https://www.crunchbase.com/organization/enjin,"Content, Cryptocurrency, FinTech, Identity Management, Video Games","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2009-03-01,day,,,2017-08-28,23000000,USD,23000000,Initial Coin Offering,23000000,USD,23000000,,,
Uptycs,https://www.crunchbase.com/organization/uptycs,"Computer, Network Security","Waltham, Massachusetts, United States","Greater Boston Area, East Coast, New England",2016-01-01,year,,,2018-06-19,10000000,USD,10000000,Series A,10000000,USD,10000000,Early Stage Venture,"Comcast Ventures, ForgePoint Capital, Founder Collective, Genacast Ventures",4
Levelset,https://www.crunchbase.com/organization/levelset,"B2B, Construction, Financial Services, FinTech, SaaS, Security, Software","New Orleans, Louisiana, United States",Southern US,2007-01-01,year,,,2018-01-03,10000000,USD,10000000,Series B,10000000,USD,10000000,Early Stage Venture,"Altos Ventures, Brick & Mortar Ventures, New Orleans Startup Fund, Operating Venture Capital, S3 Ventures",7
Bastille Networks Internet Security,https://www.crunchbase.com/organization/bastille-networks-2,"Cyber Security, Internet of Things, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2014-03-20,day,,,2017-09-21,27000000,USD,27000000,Series B,27000000,USD,27000000,Early Stage Venture,"Bessemer Venture Partners, Chris Rouland, City National Bank, David Cowan, Tom Noonan",9
Argonne National Laboratory,https://www.crunchbase.com/organization/argonne-national-laboratory,"Energy, Security, Social Impact","Lemont, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",1946-07-01,day,,,2017-10-18,19700000,USD,19700000,Grant,,,,,US Department of Energy,1
"Baffle, Inc.",https://www.crunchbase.com/organization/baffle,"Content, Cyber Security, Enterprise Applications, Security","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-01-01,year,,,2018-01-17,7000000,USD,7000000,Series A,7000000,USD,7000000,Early Stage Venture,"Clearvision Ventures, Engineering Capital, Industry Ventures, Thomvest Ventures, True Ventures",8
Cavirin Systems,https://www.crunchbase.com/organization/cavirin-systems,"Cloud Computing, Cloud Security, Compliance, Developer APIs, Security","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2012-08-10,day,,,2018-01-01,8000000,USD,8000000,Undisclosed,8000000,USD,8000000,,SRA Holdings,1
Nok Nok Labs,https://www.crunchbase.com/organization/nok-nok-labs,"Computer, Network Security, Security","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2011-11-01,day,,,2017-07-11,8000000,USD,8000000,Series D,8000000,USD,8000000,Late Stage Venture,"DCM Ventures, Lenovo, Motorola Solutions Venture Capital, ONSET Ventures, Thundersoft",12
Panorays,https://www.crunchbase.com/organization/panorays,"Cyber Security, Information Technology, Risk Management, Supply Chain Management","Tel Aviv, Tel Aviv, Israel",,2016-01-01,year,,,2018-06-05,5000000,USD,5000000,Venture - Series Unknown,5000000,USD,5000000,,"Aleph, Amichai Shulman, Elevator Fund, Michael Dolinsky, Moshe Lichtman",5
Ankr,https://www.crunchbase.com/organization/ankr-network,"Cloud Computing, Cloud Security, Marketplace, PaaS, SaaS, Sharing Economy","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2017-11-01,month,,,2018-06-15,10000000,USD,10000000,Venture - Series Unknown,10000000,USD,10000000,,"DHVC, JD Capital, JLAB | JD capital, NEO Global Capital (NGC), Pantera Capital",6
ClearBlade,https://www.crunchbase.com/organization/clearblade,"Cloud Computing, Cyber Security, Enterprise Software, Internet of Things, Software","Austin, Texas, United States",Southern US,2007-08-27,day,,,2017-09-19,3000000,USD,3000000,Series A,3000000,USD,3000000,Early Stage Venture,"Ben Lamm, Brett Hurt, Capital Factory, Hypergiant, Phunware, Inc.",41
